8834,02-07-2018,182.6999969482422,184.08999633789062,2069800,185.4600067138672,185.2899932861328,168.822998046875
8835,03-07-2018,185.57000732421875,186.4499969482422,1348000,187.3999938964844,185.7100067138672,169.2056884765625
8836,05-07-2018,185.6100006103516,186.13999938964844,1801000,188.1699981689453,187.3600006103516,170.70904541015625
8837,06-07-2018,188.00999450683597,188.57000732421875,2751600,191.4900054931641,191.00999450683597,174.03465270996094
8838,09-07-2018,191.1699981689453,191.5,3065500,194.38999938964844,194.1699981689453,176.913818359375
8839,10-07-2018,192.5399932861328,194.1699981689453,2757000,196.1499938964844,195.69000244140625,178.2987518310547
8840,11-07-2018,192.5200042724609,194.6000061035156,2431400,195.19000244140625,193.1499938964844,175.98446655273438
8841,12-07-2018,192.55999755859372,194.19000244140625,2251900,194.25999450683597,194.0800018310547,176.8318328857422
8842,13-07-2018,193.3800048828125,194.9900054931641,2232000,196.75,195.91000366210938,178.49923706054688
8843,16-07-2018,194.1100006103516,195.7100067138672,1824800,196.57000732421875,194.8800048828125,177.56072998046875
8844,17-07-2018,192.1100006103516,192.3699951171875,2567300,194.8999938964844,193.9199981689453,176.68605041503906
8845,18-07-2018,192.0500030517578,193.25,2215800,194.0,192.8000030517578,175.66558837890625
8846,19-07-2018,190.2899932861328,191.8600006103516,2539200,192.8500061035156,191.75999450683597,174.71803283691406
8847,20-07-2018,189.4900054931641,191.47999572753903,2252200,191.47999572753903,190.4900054931641,173.5608673095703
8848,23-07-2018,189.16000366210938,190.1100006103516,1767000,190.97000122070312,189.97000122070312,173.08706665039062
8849,24-07-2018,190.5,191.25,2440400,193.1999969482422,191.3999938964844,174.38998413085938
8850,25-07-2018,190.7700042724609,191.6199951171875,2009300,193.4600067138672,193.0399932861328,175.88426208496094
8851,26-07-2018,192.67999267578125,195.02999877929688,2835800,195.58999633789062,194.0500030517578,176.8045196533203
8852,27-07-2018,189.57000732421875,196.0,4100200,196.22000122070312,192.44000244140625,175.3375701904297
8853,30-07-2018,189.94000244140625,191.5,2984700,192.2100067138672,190.6300048828125,173.6884765625
8854,31-07-2018,190.8699951171875,191.0,4429300,197.4900054931641,196.5500030517578,179.08230590820312
8855,01-08-2018,194.6999969482422,196.3300018310547,2632800,196.97999572753903,195.83999633789062,178.4353790283203
8856,02-08-2018,192.72999572753903,194.63999938964844,2500400,197.4199981689453,196.3800048828125,178.9274139404297
8857,03-08-2018,196.1000061035156,196.2700042724609,2176200,198.41000366210938,197.9900054931641,180.39434814453125
8858,06-08-2018,196.5200042724609,197.44000244140625,1913800,199.8300018310547,197.6100006103516,180.04811096191406
8859,07-08-2018,197.63999938964844,197.69000244140625,2349800,200.8999938964844,200.3999938964844,182.59014892578125
8860,08-08-2018,195.07000732421875,198.5,3145900,198.5,196.1999969482422,178.763427734375
8861,09-08-2018,193.8300018310547,195.42999267578125,2766500,196.32000732421875,193.97000122070312,176.73159790039062
8862,10-08-2018,192.25999450683597,193.3000030517578,1769100,195.17999267578125,194.4199981689453,177.14158630371094
8863,13-08-2018,193.72000122070312,194.69000244140625,1802900,196.32000732421875,195.6100006103516,178.22584533691406
8864,14-08-2018,194.88999938964844,195.94000244140625,1240200,196.9600067138672,195.75999450683597,178.36251831054688
8865,15-08-2018,192.88999938964844,194.8300018310547,1900200,195.47999572753903,195.25999450683597,177.9069366455078
8866,16-08-2018,192.72999572753903,194.4600067138672,2361700,197.1300048828125,196.44000244140625,180.20030212402344
8867,17-08-2018,195.27999877929688,196.2400054931641,2183800,198.50999450683597,197.4199981689453,181.09927368164062
8868,20-08-2018,196.8699951171875,197.88999938964844,1747900,198.5,197.55999755859372,181.2277069091797
8869,21-08-2018,196.72999572753903,197.92999267578125,1666900,198.3999938964844,197.30999755859372,180.9983673095703
8870,22-08-2018,195.8300018310547,197.1499938964844,1709300,198.75,197.83999633789062,181.48455810546875
8871,23-08-2018,195.6199951171875,197.3699951171875,1351200,197.75,196.6000061035156,180.3470764160156
8872,24-08-2018,195.6000061035156,196.8800048828125,1358500,197.5,196.63999938964844,180.3837738037109
8873,27-08-2018,196.7899932861328,197.5200042724609,2034400,198.66000366210938,198.6000061035156,182.1817169189453
8874,28-08-2018,198.0,199.0200042724609,1644200,199.8300018310547,198.6199951171875,182.2000732421875
8875,29-08-2018,196.9199981689453,197.7899932861328,1775100,200.0,199.75,183.23666381835938
8876,30-08-2018,198.6999969482422,199.5800018310547,1992500,200.69000244140625,200.3500061035156,183.7870635986328
8877,31-08-2018,198.38999938964844,199.8300018310547,2981400,200.47000122070312,199.80999755859372,183.2916717529297
8878,04-09-2018,195.3300018310547,199.25,2293500,199.75,196.72999572753903,180.46630859375
8879,05-09-2018,196.8500061035156,197.1300048828125,1809000,198.6699981689453,197.75,181.4019775390625
8880,06-09-2018,195.1199951171875,197.5500030517578,1797300,198.58999633789062,196.1499938964844,179.9342498779297
8881,07-09-2018,194.75,195.42999267578125,2604100,197.5500030517578,196.3000030517578,180.07186889648438
8882,10-09-2018,196.38999938964844,197.3600006103516,4310800,203.69000244140625,202.5,185.75929260253903
8883,11-09-2018,199.2700042724609,201.0,3386000,203.0,199.47000122070312,182.9797821044922
8884,12-09-2018,198.13999938964844,199.67999267578125,2133500,201.5,199.5,183.00729370117188
8885,13-09-2018,199.41000366210938,200.2400054931641,2780200,203.08999633789062,202.92999267578125,186.1537628173828
8886,14-09-2018,200.0,203.63999938964844,2504200,204.4199981689453,200.5800018310547,183.99806213378903
8887,17-09-2018,199.50999450683597,200.2899932861328,1950100,201.4499969482422,200.80999755859372,184.20904541015625
